song,artist,weeks,peak,year,genre,gsId
Black And Yellow,Wiz Khalifa,1,100,2010,Hip hop/Rap,27753272
Trailerhood,Toby Keith,1,99,2010,Country,28389894
Rhythm of Love,Plain White T's,1,98,2010,Pop,26665893
Smoke A Little Smoke,Eric Church,1,97,2010,Country,22366300
Waiting For The End,Linkin Park,1,96,2010,Alternative rock,27542013
U Smile,Justin Bieber,2,27,2010,Dance,24919313
Turn On The Radio,Reba,1,94,2010,Country,26281430
Glitter In The Air,Pink,3,18,2010,Alternative rock,21101400
Hold You (Hold Yuh),Gyptian,1,92,2010,Rhythm and blues (R&B),27864449
All I Want Is You,Miguel Featuring J. Cole,1,91,2010,Pop,28647145
Somebody To Love,Justin Bieber Featuring Usher,1,90,2010,Rhythm and blues (R&B),24919330
Only Prettier,Miranda Lambert,1,89,2010,Country,29800831
Way Out Here,Josh Thompson,1,88,2010,Country,33059584
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,1,87,2010,Rock,26149317
Round & Round,Selena Gomez & The Scene,1,86,2010,Pop,27583322
The Breath You Take,George Strait,1,85,2010,Country,26854636
Bittersweet,Fantasia,1,84,2010,Soul,27041799
We No Speak Americano,Yolanda Be Cool & Dcup,1,83,2010,Other,28204078
Put You In A Song,Keith Urban,1,82,2010,Country,30400849
Anything Like Me,Brad Paisley,1,81,2010,Rock,28352588
Toot It And Boot It,YG,1,80,2010,Hip hop/Rap,27756310
Break My Bank,New Boyz Featuring Iyaz,1,79,2010,Hip hop/Rap,26526421
Erase Me,Kid Cudi Featuring Kanye West,1,78,2010,Alternative rock,27663861
Free,Zac Brown Band,1,77,2010,Country,22225392
Why Wait,Rascal Flatts,1,76,2010,Country,8110018
Little Lion Man,Mumford & Sons,1,75,2010,Other,23607328
Can't Be Friends,Trey Songz,1,74,2010,Hip hop/Rap,26553493
All About Tonight,Blake Shelton,1,73,2010,Country,27081701
Pretty Boy Swag,Soulja Boy Tell'em,1,72,2010,Hip hop/Rap,27257455
Holding You Down (Goin In Circles),Jazmine Sullivan,1,71,2010,Soul,29775443
La La La,Auburn Featuring Iyaz,1,70,2010,Other,27326597
Love Like Crazy,Lee Brice,1,69,2010,Country,26595022
Love Like Woe,The Ready Set,1,68,2010,Alternative rock,26911718
POWER,Kanye West,1,67,2010,Soul,27598996
My Kinda Party,Jason Aldean,1,66,2010,Country,27572082
A Year Without Rain,Selena Gomez & The Scene,1,65,2010,Rock,27014648
All Over Me,Josh Turner,1,64,2010,Country,24411141
Little White Church,Little Big Town,1,63,2010,Country,16197397
Roll With It,Easton Corbin,1,62,2010,Country,24866751
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,1,61,2010,Hip hop/Rap,26772725
Farmer's Daughter,Rodney Atkins,1,60,2010,Country,27430598
Got Your Back,T.I. Featuring Keri Hilson,1,59,2010,Hip hop/Rap,26353872
Love All Over Me,Monica,1,58,2010,Pop,26553545
Check It Out,will.i.am & Nicki Minaj,1,57,2010,Other,27798814
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,1,56,2010,Country,28089892
Pretty Good At Drinkin' Beer,Billy Currington,1,55,2010,Other,27170880
Come Back Song,Darius Rucker,1,54,2010,Country,27350562
